Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Railroad conductors and yardmasters,55,1117,52,1137,4,0
Subway_ streetcar_ and other rail transportation workers,15,0,12,0,3,0
Sailors and marine oilers,10,0,9,0,0,0
Ship and boat captains and operators,29,0,28,0,1,0
Ship engineers,5,0,4,0,1,0
Bridge and lock tenders,4,0,4,0,0,0
Parking lot attendants,57,492,49,0,8,0
Automotive and watercraft service attendants,63,452,58,470,5,0
Transportation inspectors,21,0,14,0,7,0
Transportation attendants_ except flight attendants,17,0,9,0,8,0
Other transportation workers,39,0,35,0,4,0
Conveyor operators and tenders,7,0,7,0,0,0
Crane and tower operators,75,988,71,1016,4,0
Dredge_ excavating_ and loading machine operators,25,0,25,0,0,0
Hoist and winch operators,5,0,5,0,0,0
Industrial truck and tractor operators,579,609,541,612,37,0
Cleaners of vehicles and equipment,222,485,200,498,22,0
Laborers and freight_ stock_ and material movers_ hand,1433,526,1214,547,219,455
Machine feeders and offbearers,30,0,21,0,9,0
Packers and packagers_ hand,385,438,158,462,227,424
Pumping station operators,18,0,17,0,1,0
Refuse and recyclable material collectors,72,501,66,496,6,0
Mine shuttle car operators,0,0,0,0,0,0
Tank car_ truck_ and ship loaders,6,0,6,0,0,0
Material moving workers_ all other,37,0,32,0,5,0
