Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Miscellaneous community and social service specialists_ including health educators and community health workers,92,831,29,0,63,728
Clergy,376,1002,316,1021,60,924
Directors_ religious activities and education,62,929,31,0,31,0
Religious workers_ all other,44,0,23,0,21,0
LEGAL,1346,1391,624,1877,722,1135
Lawyers,803,1886,503,1914,300,1717
Judicial law clerks,11,0,1,0,10,0
Judges_ magistrates_ and other judicial workers,54,1952,33,0,20,0
Paralegals and legal assistants,341,927,47,0,294,910
Miscellaneous legal support workers,136,770,40,0,97,746
EDUCATION,6884,956,1849,1144,5034,907
Postsecondary teachers,917,1258,516,1405,401,1144
Preschool and kindergarten teachers,517,616,11,0,506,618
Elementary and middle school teachers,2806,974,543,1077,2262,957
Secondary school teachers,1048,1066,438,1149,610,1006
Special education teachers,297,987,38,0,258,990
Other teachers and instructors,378,896,179,1024,199,817
Archivists_ curators_ and museum technicians,38,0,18,0,20,0
Librarians,130,991,27,0,102,966
Library technicians,18,0,4,0,15,0
Teacher assistants,614,541,48,0,565,530
Other education_ training_ and library workers,123,1001,28,0,95,1031
ARTS,1643,1001,930,1088,713,942
Artists and related workers,58,1166,39,0,20,0
Designers,593,993,301,1099,291,918
Actors,12,0,8,0,4,0
Producers and directors,120,1270,67,1340,53,1234
Athletes_ coaches_ umpires_ and related workers,147,780,108,818,39,0
Dancers and choreographers,11,0,2,0,9,0
Musicians_ singers_ and related workers,42,0,33,0,9,0
Entertainers and performers_ sports and related workers_ all other,14,0,11,0,3,0
Announcers,25,0,21,0,5,0
News a0lysts_ reporters and correspondents,56,1218,29,0,27,0
Public relations specialists,120,1211,49,0,71,971
Editors,108,1148,58,1205,50,1125
Technical writers,52,1158,22,0,30,0
Writers and authors,79,1232,36,0,42,0
Miscellaneous media and communication workers,46,0,16,0,30,0
Broadcast and sound engineering technicians and radio operators,83,954,77,937,7,0
Photographers,45,0,24,0,21,0
Television_ video_ and motion picture camera operators and editors,30,0,28,0,1,0
Media and communication equipment workers_ all other,2,0,2,0,0,0
HEALTHCARE PROFESSIO0L,6566,1041,1639,1272,4928,991
Chiropractors,22,0,15,0,7,0
Dentists,59,1656,39,0,20,0
Dietitians and nutritionists,79,886,9,0,69,879
Optometrists,19,0,6,0,13,0
Pharmacists,206,1920,98,2117,108,1811
Physicians and surgeons,740,1824,457,1915,283,1533
Physician assistants,57,1368,17,0,40,0
Podiatrists,9,0,5,0,4,0
Audiologists,8,0,1,0,6,0
Occupatio0l therapists,74,1210,10,0,64,1199
Physical therapists,178,1265,56,1347,123,1215
Radiation therapists,12,0,5,0,7,0
Recreatio0l therapists,6,0,2,0,4,0
Respiratory therapists,99,1000,32,0,67,937
Speech-language pathologists,108,1147,1,0,106,1148
Exercise physiologists,3,0,3,0,0,0
Therapists_ all other,132,944,31,0,101,951
Veteri0rians,55,1455,16,0,39,0
Registered nurses,2382,1116,278,1222,2104,1098
Nurse anesthetists,23,0,11,0,12,0
Nurse midwives,6,0,0,0,6,0
Nurse practitioners,115,1532,11,0,103,1522
Health diagnosing and treating practitioners_ all other,2,0,0,0,2,0
Clinical laboratory technologists and technicians,270,901,69,1089,201,796
Dental hygienists,86,914,6,0,80,953
Diagnostic related technologists and technicians,253,964,76,1106,177,908
Emergency medical technicians and paramedics,175,811,126,899,49,0
Health practitioner support technologists and technicians,487,636,99,652,389,633
Licensed practical and licensed vocatio0l nurses,508,743,48,0,459,737
Medical records and health information technicians,174,740,17,0,157,723
Opticians_ dispensing,44,0,21,0,23,0
Miscellaneous health technologists and technicians,99,671,32,0,66,642
Other healthcare practitioners and technical occupations,78,1128,40,0,38,0
HEALTHCARE SUPPORT,2395,498,320,577,2074,490
Nursing_ psychiatric_ and home health aides,1400,467,163,526,1237,457
Occupatio0l therapy assistants and aides,17,0,4,0,12,0
Physical therapist assistants and aides,53,742,18,0,35,0
Massage therapists,37,0,16,0,22,0
